no;subject_id;case_id;y;t;sd0;age;female
1;1;1;9.943701695;0;1.304463575;77;1
2;1;2;9.095939195;1;1.304463575;77;1
3;2;1;13.60807823;0;1.621399953;64;0
4;2;2;11.48414975;1;1.621399953;64;0
5;3;1;10.48699188;0;3.013967848;34;0
6;3;2;13.13265413;1;3.013967848;34;0
7;4;1;18.55975926;0;2.29460389;49;1
8;4;2;19.4111687;1;2.29460389;49;1
9;5;1;14.51725836;0;1.327080622;56;1
10;5;2;12.77886286;1;1.327080622;56;1
11;6;1;11.93373416;0;1.694753501;69;1
12;6;2;17.51821797;1;1.694753501;69;1
13;7;1;9.24527658;0;1.135264684;97;1
14;7;2;10.75615496;1;1.135264684;97;1
15;8;1;6.177331573;0;2.696767152;52;0
16;8;2;6.939428803;1;2.696767152;52;0
17;9;1;18.23073626;0;3.257474798;66;0
18;9;2;17.06581914;1;3.257474798;66;0
19;10;1;24.09974539;0;3.419339887;61;1
20;10;2;27.55904375;1;3.419339887;61;1
21;11;1;13.30379834;0;1.369684505;50;0
22;11;2;13.8516752;1;1.369684505;50;0
23;12;1;19.39212962;0;5.610101932;52;1
24;12;2;17.27336402;1;5.610101932;52;1
25;13;1;6.350066698;0;1.686115914;74;0
26;13;2;8.727363116;1;1.686115914;74;0
27;14;1;12.03308091;0;2.158444917;53;1
28;14;2;9.833921042;1;2.158444917;53;1
29;15;1;13.5395087;0;4.706490292;69;1
30;15;2;24.56217042;1;4.706490292;69;1
31;16;1;14.18822393;0;2.125731154;77;0
32;16;2;19.37385596;1;2.125731154;77;0
33;17;1;14.89694135;0;1.414899807;71;0
34;17;2;20.62654455;1;1.414899807;71;0
35;18;1;14.42646813;0;3.151226042;73;1
36;18;2;13.27601784;1;3.151226042;73;1
37;19;1;7.775414154;0;0.825236722;68;1
38;19;2;16.9664803;1;0.825236722;68;1
39;20;1;9.146789418;0;0.147157978;62;0
40;20;2;10.89841515;1;0.147157978;62;0
41;21;1;10.84317244;0;2.276931434;63;1
42;21;2;11.84958955;1;2.276931434;63;1
43;22;1;18.6330845;0;2.518114535;73;0
44;22;2;19.5353104;1;2.518114535;73;0
45;23;1;15.99736987;0;3.020902501;84;1
46;23;2;10.81124967;1;3.020902501;84;1
47;24;1;13.69769839;0;4.651698261;60;1
48;24;2;15.22418494;1;4.651698261;60;1
49;25;1;7.49603721;0;1.664442776;53;1
50;25;2;8.02016873;1;1.664442776;53;1
51;26;1;4.805545993;0;1.091681073;56;0
52;26;2;9.092257856;1;1.091681073;56;0
53;27;1;20.65971234;0;3.467870799;78;1
54;27;2;18.421481;1;3.467870799;78;1
55;28;1;14.10876447;0;3.765588386;55;1
56;28;2;15.16302259;1;3.765588386;55;1
57;29;1;12.94442824;0;0.803791699;70;1
58;29;2;9.126379092;1;0.803791699;70;1
59;30;1;8.929824379;0;0.648058037;79;1
60;30;2;12.81754238;1;0.648058037;79;1
61;31;1;19.93040268;0;2.243192129;98;0
62;31;2;25.49800447;1;2.243192129;98;0
63;32;1;13.82240826;0;0.886427982;77;1
64;32;2;15.00356635;1;0.886427982;77;1
65;33;1;13.72179297;0;0.964188738;74;1
66;33;2;12.01158008;1;0.964188738;74;1
67;34;1;25.88908075;0;6.83847271;73;0
68;34;2;16.20082876;1;6.83847271;73;0
69;35;1;14.97436121;0;2.872041329;75;0
70;35;2;14.66286612;1;2.872041329;75;0
71;36;1;14.43982982;0;4.329940075;78;1
72;36;2;15.26927444;1;4.329940075;78;1
73;37;1;16.7642518;0;4.088178525;81;1
74;37;2;15.36346611;1;4.088178525;81;1
75;38;1;15.94830912;0;1.971555995;76;0
76;38;2;13.40434175;1;1.971555995;76;0
77;39;1;19.18675683;0;1.455541975;66;1
78;39;2;14.85293832;1;1.455541975;66;1
79;40;1;17.97944277;0;5.354790302;41;0
80;40;2;14.75438897;1;5.354790302;41;0
81;41;1;14.98253742;0;1.948468452;63;1
82;41;2;14.10955874;1;1.948468452;63;1
83;42;1;15.20287872;0;3.90973314;60;0
84;42;2;16.23446108;1;3.90973314;60;0
85;43;1;25.46091019;0;2.982707144;68;1
86;43;2;18.29251948;1;2.982707144;68;1
87;44;1;7.385863122;0;2.457626353;64;1
88;44;2;6.55317004;1;2.457626353;64;1
89;45;1;10.48458128;0;1.768294547;87;1
90;45;2;10.38984965;1;1.768294547;87;1
91;46;1;18.48732192;0;0.964148147;75;1
92;46;2;13.17813387;1;0.964148147;75;1
93;47;1;17.11429304;0;1.890303865;70;1
94;47;2;12.62661996;1;1.890303865;70;1
95;48;1;16.33635777;0;1.759831764;85;0
96;48;2;11.87697012;1;1.759831764;85;0
97;49;1;21.30416308;0;2.704206978;52;0
98;49;2;21.69461318;1;2.704206978;52;0
99;50;1;14.98699763;0;3.522334808;60;1
100;50;2;10.76339329;1;3.522334808;60;1
101;51;1;11.92819652;0;2.182035393;82;0
102;51;2;10.15914614;1;2.182035393;82;0
103;52;1;12.27178059;0;2.625443317;77;0
104;52;2;18.32117678;1;2.625443317;77;0
105;53;1;14.42561297;0;3.909649923;83;0
106;53;2;20.41230575;1;3.909649923;83;0
107;54;1;17.08389903;0;2.019988258;75;0
108;54;2;14.57189663;1;2.019988258;75;0
109;55;1;13.10699158;0;0.519255676;85;0
110;55;2;14.16170484;1;0.519255676;85;0
111;56;1;14.00040188;0;4.613059217;34;0
112;56;2;18.59380354;1;4.613059217;34;0
113;57;1;20.10883405;0;6.148667657;70;1
114;57;2;23.93327831;1;6.148667657;70;1
115;58;1;14.38214753;0;1.016746792;103;1
116;58;2;16.36333712;1;1.016746792;103;1
117;59;1;8.309873643;0;2.062276333;67;0
118;59;2;8.202457519;1;2.062276333;67;0
119;60;1;8.423564753;0;1.054198209;51;0
